央视频道,#genre#
中央一套[1920*1080],http://183.252.171.204:80/wh7f454c46tw3024737498_-1167471806/ott.fj.chinamobile.com/PLTV/88888888/224/3221226908/index.m3u8
中央二套[1920*1080],http://183.252.171.170:80/wh7f454c46tw1444818088_-275899969/ott.fj.chinamobile.com/PLTV/88888888/224/3221225923/index.m3u8
中央三套[1920*1080],http://183.252.171.172:80/wh7f454c46tw1204724435_-948899464/ott.fj.chinamobile.com/PLTV/88888888/224/3221227445/index.m3u8
中央四套[1920*1080],http://183.252.171.205:80/wh7f454c46tw1622317893_-83384604/ott.fj.chinamobile.com/PLTV/88888888/224/3221225802/index.m3u8
中央五套[1920*1080],http://183.252.171.184:80/wh7f454c46tw1699841076_-1790743009/ott.fj.chinamobile.com/PLTV/88888888/224/3221227283/index.m3u8
中央五+套[1920*1080],http://183.252.171.163:80/wh7f454c46tw1882348654_1746394752/ott.fj.chinamobile.com/PLTV/88888888/224/3221225939/index.m3u8
中央六套[1920*1080],http://183.252.171.206:80/wh7f454c46tw1941112349_960303652/ott.fj.chinamobile.com/PLTV/88888888/224/3221227438/index.m3u8
中央七套[1920*1080],http://183.252.171.177:80/wh7f454c46tw2013669631_489002970/ott.fj.chinamobile.com/PLTV/88888888/224/3221225927/index.m3u8
中央八套[1920*1080],http://183.252.171.156:80/wh7f454c46tw2145198460_-283032914/ott.fj.chinamobile.com/PLTV/88888888/224/3221227449/index.m3u8
中央九套[1920*1080],http://183.252.171.184:80/wh7f454c46tw2210616854_1679570505/ott.fj.chinamobile.com/PLTV/88888888/224/3221225929/index.m3u8
中央十套[1920*1080],http://183.252.171.171:80/wh7f454c46tw2274042610_-1170828419/ott.fj.chinamobile.com/PLTV/88888888/224/3221225931/index.m3u8
中央十一套[1920*1080],http://183.252.171.185:80/wh7f454c46tw2408125366_197365471/ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/index.m3u8
中央十二套[1920*1080],http://183.252.171.165:80/wh7f454c46tw2578938085_-869675623/ott.fj.chinamobile.com/PLTV/88888888/224/3221225932/index.m3u8
中央十三套[1920*1080],http://183.252.171.184:80/wh7f454c46tw2669336377_-1722545404/ott.fj.chinamobile.com/PLTV/88888888/224/3221225817/index.m3u8
中央十四套[1920*1080],http://183.252.171.205:80/wh7f454c46tw2788444713_-1832872598/ott.fj.chinamobile.com/PLTV/88888888/224/3221225933/index.m3u8
CCTV-15蓝光1[1920*1080],http://183.252.171.185:80/wh7f454c46tw716268939_-1296624489/ott.fj.chinamobile.com/PLTV/88888888/224/3221225818/index.m3u8
CCTV-16蓝光[1920*1080],http://183.252.171.180:80/wh7f454c46tw951894357_-1066384710/ott.fj.chinamobile.com/PLTV/88888888/224/3221227125/index.m3u8
CCTV17[1920*1080],http://183.252.171.206:80/wh7f454c46tw1056951733_161476526/ott.fj.chinamobile.com/PLTV/88888888/224/3221226986/index.m3u8
地方卫视,#genre#
北京卫视蓝光1[1920*1080],http://183.252.171.144:80/wh7f454c46tw1321962506_-32756511/ott.fj.chinamobile.com/PLTV/88888888/224/3221227246/index.m3u8
天津卫视蓝光1[1920*1080],http://183.252.171.168:80/wh7f454c46tw1405943339_-1420306766/ott.fj.chinamobile.com/PLTV/88888888/224/3221227205/index.m3u8
河北卫视蓝光1[1920*1080],http://183.252.171.146:80/wh7f454c46tw1513306027_1622147634/ott.fj.chinamobile.com/PLTV/88888888/224/3221227063/index.m3u8
东方卫视蓝光2[1920*1080],http://183.252.171.185:80/wh7f454c46tw1576689109_1547709178/ott.fj.chinamobile.com/PLTV/88888888/224/3221227059/index.m3u8
湖南卫视蓝光1[1920*1080],http://183.252.171.165:80/wh7f454c46tw1644665912_-1644447883/ott.fj.chinamobile.com/PLTV/88888888/224/3221227232/index.m3u8
浙江卫视蓝光1[1920*1080],http://183.252.171.142:80/wh7f454c46tw1702516275_1363321813/ott.fj.chinamobile.com/PLTV/88888888/224/3221227193/index.m3u8
江苏卫视蓝光1[1920*1080],http://183.252.171.184:80/wh7f454c46tw1759914331_577896561/ott.fj.chinamobile.com/PLTV/88888888/224/3221227160/index.m3u8
东南卫视蓝光1[1920*1080],http://183.252.171.144:80/wh7f454c46tw1830777245_-897024205/ott.fj.chinamobile.com/PLTV/88888888/224/3221227156/index.m3u8
山东卫视蓝光1[1920*1080],http://183.252.171.165:80/wh7f454c46tw1906554057_-1795467569/ott.fj.chinamobile.com/PLTV/88888888/224/3221227236/index.m3u8
湖北卫视蓝光1[1920*1080],http://183.252.171.143:80/wh7f454c46tw2013730554_1434819487/ott.fj.chinamobile.com/PLTV/88888888/224/3221227111/index.m3u8
安徽卫视蓝光1[1920*1080],http://183.252.171.205:80/wh7f454c46tw2106934342_951381643/ott.fj.chinamobile.com/PLTV/88888888/224/3221227178/index.m3u8
广东卫视蓝光1[1920*1080],http://183.252.171.138:80/wh7f454c46tw2163629612_1263841034/ott.fj.chinamobile.com/PLTV/88888888/224/3221227164/index.m3u8
深圳卫视蓝光1[1920*1080],http://183.252.171.166:80/wh7f454c46tw2262332890_37909794/ott.fj.chinamobile.com/PLTV/88888888/224/3221227242/index.m3u8
辽宁卫视蓝光1[1920*1080],http://183.252.171.147:80/wh7f454c46tw2386382734_-523312819/ott.fj.chinamobile.com/PLTV/88888888/224/3221227141/index.m3u8
吉林卫视蓝光1[1920*1080],http://183.252.171.151:80/wh7f454c46tw2436287963_1912327206/ott.fj.chinamobile.com/PLTV/88888888/224/3221227099/index.m3u8
江西卫视蓝光1[1920*1080],http://183.252.171.164:80/wh7f454c46tw2495694734_564346810/ott.fj.chinamobile.com/PLTV/88888888/224/3221227209/index.m3u8
厦门卫视蓝光1[1920*1080],http://183.252.171.163:80/wh7f454c46tw2595387033_886058232/ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/index.m3u8
河南卫视蓝光1[1920*1080],http://183.252.171.206:80/wh7f454c46tw2667725447_-573332740/ott.fj.chinamobile.com/PLTV/88888888/224/3221227095/index.m3u8
海南卫视蓝光1[1920*1080],http://183.252.171.165:80/wh7f454c46tw2727252891_1326141584/ott.fj.chinamobile.com/PLTV/88888888/224/3221227216/index.m3u8
云南卫视蓝光1[1920*1080],http://183.252.171.204:80/wh7f454c46tw2828324394_1742597289/ott.fj.chinamobile.com/PLTV/88888888/224/3221227181/index.m3u8
贵州卫视蓝光1[1920*1080],http://183.252.171.180:80/wh7f454c46tw2878688984_-1274261286/ott.fj.chinamobile.com/PLTV/88888888/224/3221227201/index.m3u8
四川卫视蓝光1[1920*1080],http://183.252.171.151:80/wh7f454c46tw2932611157_1758732469/ott.fj.chinamobile.com/PLTV/88888888/224/3221227182/index.m3u8
重庆卫视蓝光1[1920*1080],http://183.252.171.145:80/wh7f454c46tw3002625368_356352830/ott.fj.chinamobile.com/PLTV/88888888/224/3221227240/index.m3u8
甘肃卫视蓝光1[1920*1080],http://183.252.171.165:80/wh7f454c46tw3109152753_1071969855/ott.fj.chinamobile.com/PLTV/88888888/224/3221227262/index.m3u8
青海卫视超清1[1920*1080],http://183.252.171.166:80/wh7f454c46tw3226732884_1996628898/ott.fj.chinamobile.com/PLTV/88888888/224/3221227119/index.m3u8
新疆卫视高清1[768*576],http://183.252.171.167:80/wh7f454c46tw3302393280_-1064782292/ott.fj.chinamobile.com/PLTV/88888888/224/3221227248/index.m3u8
山西卫视高清1[768*576],http://183.252.171.168:80/wh7f454c46tw3450168497_693222210/ott.fj.chinamobile.com/PLTV/88888888/224/3221227258/index.m3u8
兵团卫视高清1[785*576],http://183.252.171.177:80/wh7f454c46tw3547086750_1320731028/ott.fj.chinamobile.com/PLTV/88888888/224/3221227168/index.m3u8
延边卫视高清[1024*576],http://183.252.171.184:80/wh7f454c46tw3624358793_-256771101/ott.fj.chinamobile.com/PLTV/88888888/224/3221227330/index.m3u8
纪实科技,http://183.252.171.158:80/wh7f454c46tw863305821_-1845818865/ott.fj.chinamobile.com/PLTV/88888888/224/3221225944/index.m3u8
东方财经,http://183.252.171.152:80/wh7f454c46tw928513093_-210738170/ott.fj.chinamobile.com/PLTV/88888888/224/3221227087/index.m3u8
